Ext,HDU,Keyword,Description,Units,Data Type,Value,Range,Source,Keep,comment
Current classes of headers are:,,,,,,,,,n,
- Observatory,,,,,,,,,n,
- CCD (R/G),,,,,,,,,n,
-telescope,,,,,,,,,n,
-queue,,,,,,,,,n,
-Archon,,,,,,,,,n,
-etalon,,,,,,,,,n,
-calibration,,,,,,,,,n,
-lfc,,,,,,,,,n,
-aux,,,,,,,,,n,
-vaccume_cart,,,,,,,,,n,
-crypt,,,,,,,,,n,
-electronics,,,,,,,,,n,
,,FIL1CAL,T,,,,,hires,n,
,,FIL1NAME,kv370   ',,,,,hires,n,
,,FIL1RAW,-79998,,,,,hires,n,
,,FIL1POS,9,,,,,hires,n,
,,FIL2CAL,T,,,,,hires,n,
,,FIL2NAME,clear   ',,,,,hires,n,
,,FIL2RAW,1,,,,,hires,n,
,,FIL2POS,1,,,,,hires,n,
,,HATCLOS,F,,,,,hires,n,
,,HATOPEN,T,,,,,hires,n,
,,IODIN,F,,,,,hires,n,
,,IODOUT,T,,,,,hires,n,
,,IROTIN,T,,,,,hires,n,
,,IROTOUT,F,,,,,hires,n,
,,IROTCVOP,T,,,,,hires,n,
,,IROT2ANG,206.4694061,,,,,hires,n,
,,LAMPCAT1,F,,,,,hires,n,
,,LAMPCAT2,F,,,,,hires,n,
,,LAMPQTZ2,F,,,,,hires,n,
,,LAMPLSR,F,,,,,hires,n,
,,LAMPDEUT,F,,,,,hires,n,
,,LAMPNAME,none    ',,,,,hires,n,
,,LFILCAL,T,,,,,hires,n,
,,LFILNAME,ng3     ',,,,,hires,n,
,,LFILPOS,8,,,,,hires,n,
,,LFILRAW,-69998,,,,,hires,n,
,,LMIRROUT,T,,,,,hires,n,
,,LMIRRIN,F,,,,,hires,n,
,,LSELCAL,T,,,,,hires,n,
,,LSELNAME,none    ',,,,,hires,n,
,,LSELRAW,1,,,,,hires,n,
,,RCCVCLOS,F,,,,,hires,n,
,,RCCVOPEN,T,,,,,hires,n,
,,RELHUM,5.22460938,,,,,hires,n,
,,SLITCAL,T,,,,,hires,n,
,,SLITNAME,opened  ',,,,,hires,n,
,,SLITRAW,30001,,,,,hires,n,
,,SLITWID,10.21401882,,,,,hires,n,
,,TEMPCOOL,2.97361302,,,,,hires,n,
,,TEMPIN,8.66495991,,,,,hires,n,
,,TEMPIOD1,65.11230469,,,,,hires,n,
,,TEMPIOD2,50.02441406,,,,,hires,n,
,,TEMPLAMP,3.32628894,,,,,hires,n,
,,TEMPOUT,3.02787089,,,,,hires,n,
,,TEMPTV,9.22380257,,,,,hires,n,
,,TVACAL,T,,,,,hires,n,
,,TVANAME,open    ',,,,,hires,n,
,,TVARAW,-19905,,,,,hires,n,
,,TVFCAL,T,,,,,hires,n,
,,TVFNAME,1mm     ',,,,,hires,n,
,,TVFRAW,131221,,,,,hires,n,
,,TVFOCUS,21.79613304,,,,,hires,n,
,,TVF1CAL,T,,,,,hires,n,
,,TVF1NAME,bg38    ',,,,,hires,n,
,,TVF1RAW,60005,,,,,hires,n,
,,TVF1POS,5,,,,,hires,n,
,,TVF2CAL,T,,,,,hires,n,
,,TVF2NAME,clear   ',,,,,hires,n,
,,TVF2RAW,3,,,,,hires,n,
,,TVF2POS,1,,,,,hires,n,
,,TVON,T,,,,,hires,n,
,,XDCAL,T,,,,,hires,n,
,,XDNAME,undefined',,,,,hires,n,
,,XDISPERS,RED     ',,,,,hires,n,
,,XDSIGMAI,250,,,,,hires,n,
,,XDDELTAD,4.38199997,,,,,hires,n,
,,XCOVCLOS,F,,,,,hires,n,
,,XCOVOPEN,T,,,,,hires,n,
,,CAFCON,F,,,,,hires,n,
,,CAMCON,F,,,,,hires,n,
,,COFCON,F,,,,,hires,n,
,,COLLCON,F,,,,,hires,n,
,,DECKCON,F,,,,,hires,n,
,,ECHCON,F,,,,,hires,n,
,,FIL1CON,F,,,,,hires,n,
,,FIL2CON,F,,,,,hires,n,
,,HATCON,F,,,,,hires,n,
,,IODCON,F,,,,,hires,n,
,,IROTCON,F,,,,,hires,n,
,,LFILCON,F,,,,,hires,n,
,,LSELCON,F,,,,,hires,n,
,,SLITCON,F,,,,,hires,n,
,,TVACON,F,,,,,hires,n,
,,TVFCON,F,,,,,hires,n,
,,TVF1CON,F,,,,,hires,n,
,,TVF2CON,F,,,,,hires,n,
,,XDCON,F,,,,,hires,n,
,,EXM0MOD,Auto    ',,,,,hires,n,
,,EXM0STA,Ready   ',,,,,hires,n,
,,EXM0DSUM,6100,,,,,hires,n,
,,EXM0LSUM,42232,,,,,hires,n,
,,EXM0SSUM,36132,,,,,hires,n,
,,EXM0TARG,60000,,,,,hires,n,
,,EXM0FWMP,1233,,,,,hires,n,
,,EXM0MIDP,1199,,,,,hires,n,
,,EXM0DOVF,0,,,,,hires,n,
,,EXM0LOVF,0,,,,,hires,n,
,,EXM0TOVF,0,,,,,hires,n,
,,PMT0MPOW,on      ',,,,,hires,n,
,,PMT0TPOW,on      ',,,,,hires,n,
,,PMT0OVL,false   ',,,,,hires,n,
,,PROP0STA,Spinning',,,,,hires,n,
,,COMMENT END   keywords that came from KTL via watch_ccd,,,,,,hires,n,
,,COMMENT BEGIN keywords that came from CCD crate imparm structure,,,,,,hires,n,
,,IMTYPE,MOSAIC  ',,,,,hires,n,
,,PRELINE,0,,,,,hires,n,
,,POSTLINE,0,,,,,hires,n,
,,ERASLINE,0,,,,,hires,n,
,,KEEPPREP,1,,,,,hires,n,
,,PREFLUSH,40,,,,,hires,n,
,,OVRFLUSH,0,,,,,hires,n,
,,DETCNFID,1002,,,,,hires,n,
,,VIDINACT,42,,,,,hires,n,
,,BINNING,"3,1     '",,,,,hires,n,
,,CCDSUM,3 1     ',,,,,hires,n,
,,AMPPSIZE,"[1:2048,1:4096]'",,,,,hires,n,
,,DETLSIZE,"[1:6144,1:4096]'",,,,,hires,n,
,,COMMENT END   keywords that came from CCD crate imparm structure,,,,,,hires,n,
,,COMMENT ...Generic comments for this instrument follow...,,,,,,hires,n,
,,COMMENT This is the real HIRES CCD mosaic subsystem,,,,,,hires,n,
,,COMMENT ...Comments specific to this run follow...,,,,,,hires,n,
,,COMMENT Set this comment to identify your present observing run.,,,,,,hires,n,
,,COMMENT END   observation-specific keywords written by write_image,,,,,,hires,n,
,,CHECKSUM,7NVf9KTZ7KTf7KTZ'   / HDU checksum updated 2009-10-05T08:08:03,,,,,hires,n,
,,DATASUM,         0'         / data unit checksum updated 2009-10-05T08:08:03,,,,,hires,n,
,,,,,,,,,n,
,,KOA REQUIRED KEYWORDS: https://exoplanets.atlassian.net/wiki/spaces/shrek/pages/2212593692/KPF+Data+Transfer+Telescope+to+Archive,,,,,,,n,
,,KOAID,"Unique file identifier,Encodes instrument name and UT time of observation.",,,,,KOA,n,Will be added by KOA
,,KIOAIMTYP,"KOA Image Type, e.g. object, bias, dark, arclamp, flatlamp, domeflat, twilightflat",,,,,KOA,n,Will be added by KOA
,,PROGID,WMKO program ID,,,,,KOA,n,Will be added by KOA
,,PROGINST,Program Institution,,,,,KOA,n,Will be added by KOA
,,PROGNAME,WMKO program ID,,,,,KOA,n,Will be added by KOA
,,PROGPI,Program PI,,,,,KOA,n,Will be added by KOA
,,PROGTITL,Program title,,,,,KOA,n,Will be added by KOA
,,PROPINT,Proprietary period,,,,,KOA,n,Will be added by KOA
,,SEMESTER,Observatory Semester ID.,,,,,KOA,n,Will be added by KOA
,,CD1_1,WCS coordinate transformation matrix,,,,,KOA,n,Will be added by KOA
,,CD1_2,WCS coordinate transformation matrix,,,,,KOA,n,Will be added by KOA
,,CD2_1,WCS coordinate transformation matrix,,,,,KOA,n,Will be added by KOA
,,CD2_2,WCS coordinate transformation matrix,,,,,KOA,n,Will be added by KOA
,,CRPIX1,Reference pixel,,,,,KOA,n,Will be added by KOA
,,CRPIX2,Reference pixel,,,,,KOA,n,Will be added by KOA
,,CRVAL1,Reference pixel value,,,,,KOA,n,Will be added by KOA
,,CRVAL2,Reference pixel value,,,,,KOA,n,Will be added by KOA
,,CTYPE1,Coordinate type and projection (RA),,,,,KOA,n,Will be added by KOA
,,CTYPE2,Coordinate type and projection (DEC),,,,,KOA,n,Will be added by KOA
,,RADECSYS,WCS Coordinate System,,,,,KOA,n,Will be added by KOA
,,DQA_DATE,Date of DQA run,,,,,KOA,n,Will be added by KOA
,,DQA_VERS,DQA version number,,,,,KOA,n,Will be added by KOA
,,WXDOMHUM,Dome humidity at WXTIME,,,,,KOA,n,Will be added by KOA
,,WXDOMTMP,Dome temperature at WXTIME,,,,,KOA,n,Will be added by KOA
,,WXDWPT,Dewpoint at WXTIME,,,,,KOA,n,Will be added by KOA
,,WXOUTHUM,Outside humidity at WXTIME,,,,,KOA,n,Will be added by KOA
,,WXOUTTMP,Outside temperature at WXTIME,,,,,KOA,n,Will be added by KOA
,,WXPRESS,Pressure at WXTIME,,,,,KOA,n,Will be added by KOA
,,WXTIME,Time of weather measurements,,,,,KOA,n,Will be added by KOA
,,WXWNDIR,Wind directionat WXTIME,,,,,KOA,n,Will be added by KOA
,,WXWNDSP,Wind speed at WXTIME,,,,,KOA,n,Will be added by KOA
,,DISPSCAL,"CCD pixel scale, dispersion",,,,,KOA,n,Will be added by KOA
,,ELAPTIME,Exposure time from XPOSURE (shutter open duration),,,,,KOA,n,Will be added by KOA
