CHIP,INDEX,ECHELLE,WAVE_MIN,WAVE_MAX,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9
RED,13,89,6858.356910456308,6941.882690540176,6902.959794119435,41.783320042729954,-2.8414437440109745,-0.01997980887270984,0.0016327360627999591,-0.0004586959240846507,-0.0001580487963325198,0.00015390112805427139,-2.4564441765309776e-05,-0.00014539712784077444
RED,14,88,6936.202888816613,7020.70457003641,6981.325641359542,42.271289634098494,-2.8735872816501282,-0.020091896133426868,0.0017363625821993681,-0.0004913900787482681,-0.00010950059196275508,0.00013122614663354173,4.848663882171483e-05,3.035864104473072e-06
RED,15,87,7015.836942349937,7101.3361331882115,7061.491119033907,42.77016706336483,-2.9063273424373457,-0.020188193130146925,0.00170542115273632,-0.00043021471920076497,-8.536259095876838e-05,2.0448447013922935e-05,0.00012601904475910156,2.631517473180112e-05
RED,16,86,7097.321243265469,7183.840369792359,7143.519060249881,43.28027478908262,-2.939846791895952,-0.02041726154095954,0.0016916311929880236,-0.0004348606812547261,-0.00012140387242952397,8.2477214236622e-05,2.2843610865924354e-05,5.811936864878199e-05
RED,17,85,7180.721565476874,7268.283861418456,7227.475135438909,43.80199442625831,-2.9740942479553683,-0.020611182127422353,0.0016814131253062817,-0.0004677792424072964,-6.151652665788844e-05,0.00016021468776860796,5.236012150657125e-05,7.229121379734113e-05
RED,18,84,7266.106163073833,7354.73536963217,7313.427985229592,44.335705013519856,-3.008927775821132,-0.02074329093169216,0.0017955403435613723,-0.0004236131797813601,-8.478157559762214e-05,0.000120254614959667,-1.8595308144566815e-06,-5.5084854963312654e-05
RED,19,83,7353.5464745029585,7443.267723870249,7401.449808161692,44.88175610838909,-3.0445305126723174,-0.02093157285875093,0.0018329328212853778,-0.0003694292837553772,-2.7457348360004375e-05,0.0001283484196326518,1.6062120412140108e-05,4.122897702084029e-05
RED,20,82,7443.117984453142,7533.956263522062,7491.616235745675,45.44063367125615,-3.080885791691335,-0.021128529857745926,0.0018268267486763353,-0.00038809620571077317,-6.334249166122481e-06,4.066016705761947e-05,-4.6458874784073414e-05,-1.817090168000445e-05
RED,21,81,7534.899404786011,7626.881303724073,7584.006521741017,46.01273493433796,-3.118052836067085,-0.021384885573756385,0.001846783863465582,-0.0004499004241720224,-1.782267642178319e-05,9.214548279430445e-05,5.638891777695055e-05,-4.28247934828769e-05
RED,22,80,7628.973368578,7722.126403693798,7678.7039876912195,46.5983713625113,-3.155944529533573,-0.021624480596437196,0.0018117083714732666,-0.00044644221043659775,-2.826295897965768e-05,0.00019097714437561124,5.952881484701236e-05,2.6141047202877196e-05
